event_id,gate,category,sample,loss
565,11,2,472,2544197467.0
566,48,1,474,493456379.0
567,14,3,475,8938953132.0
568,12,1,476,690090934.1
569,20,2,476,4661767010.0
570,12,1,476,713560354.0
571,53,2,477,4224952563.0
572,50,1,478,795430630.9
573,61,2,479,3611421792.0
574,1,1,480,872477522.2
575,9,3,480,5961674471.0
576,63,2,481,2733219431.0
577,12,1,486,1341333887.0
578,20,3,487,6613654285.0
579,21,4,487,14948036345.0
580,21,1,487,947222683.7
581,1,1,487,755753030.0
582,12,3,488,8126555557.0
583,61,2,488,3611421792.0
584,58,1,489,775055478.6
585,58,1,491,775055478.6
586,58,1,491,775055478.6
587,51,3,491,7934412765.0
588,12,1,492,566059561.9
589,10,1,493,804631799.0
590,51,3,493,5649485932.0
591,26,1,494,1205057041.0
592,18,3,494,7188343121.0
593,11,1,495,1435403638.0
594,10,1,496,640631580.5
595,49,1,497,808904490.5
596,52,1,498,1316785465.0
597,53,1,498,1316785465.0
598,46,1,505,524354473.6
599,58,1,506,775055478.6
600,6,1,506,901765476.2
601,14,3,507,8938953132.0
602,48,3,509,6613654285.0
603,12,1,510,1435403638.0
604,37,2,510,3450533798.0
605,51,3,511,9087872461.0
606,48,3,511,8097986358.0
607,1,1,511,794049838.6
608,49,3,512,6613654285.0
609,18,3,513,7188343121.0
610,46,4,513,14948036345.0
611,40,4,513,14853619650.0
612,1,1,514,894299898.2
613,52,1,515,701893528.9
614,40,4,515,14853619650.0
615,48,1,516,778997682.3
616,49,1,517,774141202.3
617,3,1,517,844920698.6
618,52,1,518,1068152484.0
619,37,1,518,1361850958.0
620,9,3,519,5961674471.0
621,13,1,519,995291304.3
622,14,3,520,8938953132.0
623,14,1,520,1289941312.0
624,46,1,520,524354473.6
625,22,1,520,947222683.7
626,4,3,521,5749773962.0
627,58,1,521,775055478.6
628,51,3,522,12785781235.0
629,10,1,523,1016410840.0
630,58,1,527,775055478.6
631,51,3,528,5295292484.0
632,62,1,528,462562513.5
633,14,1,528,700358895.5
634,37,1,528,1361850958.0
635,15,1,529,940083604.1
636,51,3,530,8614014376.0
637,46,1,532,524354473.6
638,51,3,533,13443306794.0
639,12,1,533,927267117.0
640,21,1,534,947222683.7
641,46,1,534,524354473.6
